[step],(mean) curr-fish-count,(mean) curr-shark-count,(mean) curr-food-count
658,783.8571429,15,17.71428571
659,786,15,18
660,788.2857143,15,17.57142857
661,791.1428571,15,18
662,793.4285714,15.14285714,16.71428571
663,794.2857143,15.14285714,17.57142857
664,797.7142857,14.85714286,17.14285714
665,801.5714286,15,17
666,803.5714286,15.14285714,17.85714286
667,804.4285714,15.28571429,17.85714286
668,803.1428571,15.28571429,17
669,806.4285714,15.14285714,16.71428571
670,806.8571429,15.14285714,16.71428571
671,808.4285714,15.14285714,17.42857143
672,806.4285714,15,17.57142857
673,812.5714286,15,17.57142857
674,813.1428571,14.85714286,18.14285714
675,816.4285714,15,17.42857143
676,819.5714286,15.28571429,17
677,820.1428571,15.28571429,17.14285714
678,821.1428571,15.28571429,17.28571429
679,824.5714286,15.28571429,18.28571429
680,828.7142857,15.28571429,18.42857143
681,831.7142857,15.42857143,18
682,832.8571429,15.71428571,19.42857143
683,832,15.71428571,19.57142857
684,834.2857143,15.71428571,18.71428571
685,832.8571429,15.57142857,17.57142857
686,836.2857143,15.42857143,19.14285714
687,837,15.57142857,18.57142857
688,840.4285714,15.71428571,18.85714286
689,843,16,19.14285714
690,845.5714286,16.14285714,18.71428571
691,850,16.28571429,19.57142857
692,850.2857143,16.28571429,19.28571429
693,854,16.57142857,20.71428571
694,857.8571429,16.71428571,20.42857143
695,862.4285714,16.71428571,21.14285714
696,861.7142857,16.57142857,21.28571429
697,863.1428571,16.57142857,21.42857143
698,870.1428571,16.85714286,21.42857143
699,875,16.85714286,21.57142857
700,877.5714286,17,21.28571429
701,881,16.85714286,21.85714286
702,880.7142857,16.57142857,23
703,881.8571429,16.42857143,22.71428571
704,883.4285714,16.71428571,23
705,883.4285714,16.85714286,23.42857143
706,885,16.85714286,24
707,888.5714286,16.85714286,24.14285714
708,895.8571429,17.14285714,24.42857143
709,893.8571429,17.85714286,23.14285714
710,901.7142857,17.71428571,22.42857143
711,902.7142857,17.85714286,22.42857143
712,907,17.85714286,22.71428571
713,910.4285714,18,22.28571429
714,910.1428571,18,21.71428571
715,916.8571429,17.85714286,22.42857143
716,920.2857143,18,21.57142857
717,923.4285714,18,22.14285714
718,929,18.14285714,22.28571429
719,929.1428571,18.28571429,23.14285714
720,931.2857143,18.57142857,23.42857143
721,930.2857143,18.57142857,23.85714286
722,933.8571429,18.57142857,24.42857143
723,938.4285714,18.57142857,24.57142857
724,941,18.71428571,25.14285714
725,944,18.71428571,24.57142857
726,944.8571429,19.28571429,24.42857143
727,950,19.57142857,24.28571429
728,956,19.28571429,24
729,954.5714286,19.28571429,24.42857143
730,951.7142857,19.57142857,25.28571429
731,954.7142857,19.71428571,25
732,958.8571429,19.57142857,26.42857143
733,958.7142857,19.71428571,27.42857143
734,958.4285714,19.85714286,27.42857143
735,958.8571429,20.14285714,27.42857143
736,958.8571429,20.42857143,27.42857143
737,960.2857143,20.85714286,27.28571429
738,960.1428571,20.85714286,27.28571429
739,962,20.85714286,27.28571429
740,964.5714286,20.85714286,27.42857143
741,968.8571429,21,26.28571429
742,971.8571429,21,27
743,971.7142857,21.14285714,26.14285714
744,970.2857143,21.28571429,26
745,974.8571429,21.71428571,26.42857143
746,974.7142857,21.57142857,26.71428571
747,978.5714286,21.85714286,27.14285714
748,981.2857143,22.14285714,27
749,984.7142857,22.28571429,26.71428571
750,985.4285714,22.42857143,26.42857143
751,985.7142857,23.14285714,26
752,984.5714286,23.42857143,26.71428571
753,983.1428571,23.71428571,26.42857143
754,986.2857143,23.71428571,28
755,984.4285714,24,28.57142857
